,HCPCS_CODE,CLNDR_HCPCS_YR_NUM,LONG_DESCRIPTION,SHORT_DESCRIPTION,PRICE1,PRICE2,PRICE3,PRICE4,MULT_PI,CIM1,CIM2,CIM3,MCM1,MCM2,MCM3,STATUTE,LABCERT1,LABCERT2,LABCERT3,LABCERT4,LABCERT5,LABCERT6,LABCERT7,LABCERT8,XREF1,XREF2,XREF3,XREF4,XREF5,COV,ASC_GRP,ASC_DT,OPPS,OPPS_PI,OPPS_DT,PROCNOTE,BETOS,TOS1,TOS2,TOS3,TOS4,TOS5,ANEST_BU,ADD_DT,ACT_EFF_DT,TERM_DT,ACTION_CD
0,A1,2020,Dressing for one wound,Dressing for one wound,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2002-07-01,2002-07-01,nan--,N
1,A2,2020,Dressing for two wounds,Dressing for two wounds,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2002-07-01,2002-07-01,nan--,N
2,A3,2020,Dressing for three wounds,Dressing for three wounds,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2002-07-01,2002-07-01,nan--,N
3,A4,2020,Dressing for four wounds,Dressing for four wounds,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2002-07-01,2002-07-01,nan--,N
4,A5,2020,Dressing for five wounds,Dressing for five wounds,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2002-07-01,2002-07-01,nan--,N
5,A6,2020,Dressing for six wounds,Dressing for six wounds,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2002-07-01,2002-07-01,nan--,N
6,A7,2020,Dressing for seven wounds,Dressing for seven wounds,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2002-07-01,2002-07-01,nan--,N
7,A8,2020,Dressing for eight wounds,Dressing for eight wounds,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2002-07-01,2002-07-01,nan--,N
8,A9,2020,Dressing for nine or more wounds,Dressing for 9 or more wound,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2002-07-01,2002-07-01,nan--,N
9,AA,2020,Anesthesia services performed personally by anesthesiologist,Anesthesia perf by anesgst,,,,,,,,,3350.5,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,,,,,,,,,1984-01-01,2001-01-01,nan--,N
10,AD,2020,Medical supervision by a physician: more than four concurrent anesthesia procedures,"Md supervision, >4 anes proc",,,,,,,,,3350.5,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,,,,,,,,,1984-01-01,2001-01-01,nan--,N
11,AE,2020,Registered dietician,Registered dietician,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2005-01-01,2005-01-01,nan--,N
12,AF,2020,Specialty physician,Specialty physician,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2005-01-01,2005-01-01,nan--,N
13,AG,2020,Primary physician,Primary physician,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2005-01-01,2005-01-01,nan--,N
14,AH,2020,Clinical psychologist,Clinical psychologist,,,,,,,,,2150,5112,,,,,,,,,,,,,,,,D,,nan--,,,nan--,,,,,,,,,1991-01-01,1997-01-01,nan--,N
15,AI,2020,Principal physician of record,Principal physician of rec,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2010-01-01,2010-01-01,nan--,N
16,AJ,2020,Clinical social worker,Clinical social worker,,,,,,,,,2152,5113,,,,,,,,,,,,,,,,D,,nan--,,,nan--,,,,,,,,,1991-01-01,1997-01-01,nan--,N
17,AK,2020,Non participating physician,Non participating physician,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2005-01-01,2005-01-01,nan--,N
18,AM,2020,"Physician, team member service","Physician, team member svc",,,,,,,,,4105.7,,,,,,,,,,,,QM,,,,,D,,nan--,,,nan--,69.0,,,,,,,,1991-01-01,1997-01-01,nan--,N
19,AO,2020,Alternate payment method declined by provider of service,Prov declined alt pmt method,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2013-10-01,2013-10-01,nan--,N
20,AP,2020,Determination of refractive state was not performed in the course of diagnostic ophthalmological examination,No dtmn of refractive state,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1984-01-01,1997-01-01,nan--,N
21,AQ,2020,Physician providing a service in an unlisted health professional shortage area (hpsa),Physician service hpsa area,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2006-01-01,2006-01-01,nan--,N
22,AR,2020,Physician provider services in a physician scarcity area,Physician scarcity area,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2005-01-01,2005-01-01,nan--,N
23,AS,2020,"Physician assistant, nurse practitioner, or clinical nurse specialist services for assistant at surgery",Assistant at surgery service,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,69.0,,,,,,,,1988-01-01,1999-01-01,nan--,N
24,AT,2020,"Acute treatment (this modifier should be used when reporting service 98940, 98941, 98942)",Acute treatment,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1984-01-01,1998-01-01,nan--,N
25,AU,2020,"Item furnished in conjunction with a urological, ostomy, or tracheostomy supply","Uro, ostomy or trach item",,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2003-01-01,2003-01-01,nan--,N
