,HCPCS_CODE,HCPCS_DESCRIPTION,HCPCS_ASC_EXCLUDED,HCPCS_ASC_EXCLUDED_DT,HCPCS_GROUP,HCPCS_GROUP_BEGIN_DT,HCPCS_GROUP_END_DT,ADDED_TO_FILE_DATE,LAST_EDIT_DATE,USER_ID
0,10004,Fna bx w/o img gdn ea addl,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
1,10005,Fna bx w/us gdn 1st les,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
2,10006,Fna bx w/us gdn ea addl,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
3,10007,Fna bx w/fluor gdn 1st les,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
4,10008,Fna bx w/fluor gdn ea addl,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
5,10009,Fna bx w/ct gdn 1st les,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
6,10010,Fna bx w/ct gdn ea addl,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
7,10011,Fna bx w/mr gdn 1st les,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
8,10012,Fna bx w/mr gdn ea addl,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
9,10021,Fna bx w/o img gdn 1st les,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
10,10030,Guide cathet fluid drainage,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
11,10035,Perq dev soft tiss 1st imag,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
12,10036,Perq dev soft tiss add imag,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
13,10040,Acne surgery,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
14,10060,Drainage of skin abscess,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
15,10061,Drainage of skin abscess,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
16,10080,Drainage of pilonidal cyst,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
